PROVINCIA,wikidata_provincia,CODIGO_PROVINCIA,CONCELLO,wikidata_concello,CODIGO_CONCELLO,PRAIA,wikidata_praia,LUGAR_E_PARROQUIA,LONXITUDE,TIPO,TIPO_DE_AREA,COORDENADAS,Coordenada_X,Coordenada_Y,MAIS_INFORMACION_EN_TURGALICIA,lat,lon,id_uri,provincia_canon,pais,id_concello,id_provincia
A Coruña Province,Q82119,15,Arteixo,Q996161,15143,A Salsa,Q28121438,,20.0,Praia resgardada,Cantos rodados,"43.320555,-8.525277",43.320555,-8.525277,http://www.turismo.gal/ficha-recurso?cod_rec=268679921,43.320555,-8.525277,praia-azul-a-salsa-15143,A Coruña,España,arteixo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Arteixo,Q996161,15143,Playa Valcovo,Q24024572,Valcovo - Arteixo (Santiago),300.0,Praia aberta,Fina,"43.315444,-8.533555",43.315444,-8.533555,http://www.turismo.gal/ficha-recurso?cod_rec=10268,43.315444,-8.533555,praia-azul-playa-valcovo-15143,A Coruña,España,arteixo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Arteixo,Q996161,15143,Suevos,Q28121617,Suevos,20.0,Praia resgardada,Fina,"43.35271,-8.48791",43.35271,-8.48791,https://www.turismo.gal/recurso/-/detalle/268643064/area-grande-suevos,43.35271,-8.48791,praia-azul-suevos-15143,A Coruña,España,arteixo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Arteixo,Q996161,15143,Combouzas,Q25509130,Barrañán - Barrañán (San Xián),300.0,Praia aberta,Fina,"43.312667,-8.544277",43.312667,-8.544277,http://www.turismo.gal/ficha-recurso?cod_rec=10269,43.312667,-8.544277,praia-azul-combouzas-15143,A Coruña,España,arteixo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Arteixo,Q996161,15143,Barrañán,Q25509129,Barrañán - Barrañán (San Xián),1200.0,Praia aberta,Fina,"43.311556,-8.552",43.311556,-8.552,http://www.turismo.gal/ficha-recurso?cod_rec=9861,43.311556,-8.552,praia-azul-barranan-15143,A Coruña,España,arteixo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Arteixo,Q996161,15143,Sabón,Q24003520,Sabón - Oseiro (San Tirso),900.0,Praia aberta,Fina,"43.327694,-8.508833",43.327694,-8.508833,http://www.turismo.gal/ficha-recurso?cod_rec=9859,43.327694,-8.508833,praia-azul-sabon-15143,A Coruña,España,arteixo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Bergondo,Q644018,15008,Gandarío,Q24003799,Gandarío - Ouces (San Xoán),800.0,Praia resgardada,Fina,"43.342715,-8.2424927",43.342715,-8.2424927,http://www.turismo.gal/ficha-recurso?cod_rec=10120,43.342715,-8.2424927,praia-azul-gandario-15008,A Coruña,España,bergondo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Camariñas,Q1373985,15016,Arou,Q28121645,Arou - Camelle (O Espírito Santo),400.0,Praia aberta,Fina,"43.18472300,-9.10500000",43.184723,-9.105,http://www.turismo.gal/recurso/-/detalle/10290/arou,43.184723,-9.105,praia-azul-arou-15016,A Coruña,España,camarinas-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Carballo,Q166137,15019,Baldaio Beach,Q24003099,,3600.0,Praia aberta,Fina,"43.298027,-8.680305",43.298027,-8.680305,http://www.turismo.gal/ficha-recurso?cod_rec=268649359,43.298027,-8.680305,praia-azul-baldaio-beach-15019,A Coruña,España,carballo-a-coruna-espana,a-coruna
A Coruña Province,Q82119,15,Carballo,Q166137,15019,Pedra Do Sal,Q28121663,,3600.0,Praia aberta,Fina,"43.301889,-8.658278",43.301889,-8.658278,http://www.turismo.gal/ficha-recurso?cod_rec=268882051,43.301889,-8.658278,praia-azul-pedra-do-sal-15019,A Coruña,España,carballo-a-coruna-espana,a-coruna
